Legacy Tool,Essai Part Number,New Tool Name,Holder
1,,No match,
35,800-501166,AL014026A,HSK63-ER16x100
35,800-501166,AL014026B,HSK63-ER16x100
35,800-501166,AL014026C,HSK63-ER16x100
35,800-501166,AL014026D,HSK63-ER16x100
35,800-501166,AL014026E,HSK63-ER16x100
35,800-501166,PL014026A,HSK63-ER16x100
35,800-501166,PL014026B,HSK63-ER16x100
35,800-501166,PL014026C,HSK63-ER16x100
35,800-501166,PL014026D,HSK63-ER16x100
35,800-501166,PL014026E,HSK63-ER16x100
35,800-501166,PG014026A,HSK63-ER16x100
35,800-501166,PG014026B,HSK63-ER16x100
35,800-501166,PG014026C,HSK63-ER16x100
35,800-501166,PG014026D,HSK63-ER16x100
35,800-501166,PG014026E,HSK63-ER16x100
35,800-501166,AL014027A,HSK63-ER32x100
35,800-501166,AL014027B,HSK63-ER32x100
35,800-501166,AL014027C,HSK63-ER32x100
35,800-501166,AL014027D,HSK63-ER32x100
35,800-501166,AL014027E,HSK63-ER32x100
35,800-501166,PL014027A,HSK63-ER32x100
35,800-501166,PL014027B,HSK63-ER32x100
35,800-501166,PL014027C,HSK63-ER32x100
35,800-501166,PL014027D,HSK63-ER32x100
35,800-501166,PL014027E,HSK63-ER32x100
35,800-501166,PG014027A,HSK63-ER32x100
35,800-501166,PG014027B,HSK63-ER32x100
35,800-501166,PG014027C,HSK63-ER32x100
35,800-501166,PG014027D,HSK63-ER32x100
35,800-501166,PG014027E,HSK63-ER32x100
35,800-501166,S1014026A,HSK63-ER16x100
35,800-501166,S1014052A,HSK63-PG32x100
35,800-501166,S1014053A,HSK63-ER16x160
35,800-501166,AL014058A,HSK63-PG10x100
35,800-501166,AL014058B,HSK63-PG10x100
35,800-501166,AL014058C,HSK63-PG10x100
35,800-501166,AL014058D,HSK63-PG10x100
35,800-501166,AL014058E,HSK63-PG10x100
35,800-501166,S1014058A,HSK63-PG10x100
35,800-501166,S1014058B,HSK63-PG10x100
35,800-501166,S1014058C,HSK63-PG10x100
35,800-501166,S1014058D,HSK63-PG10x100
35,800-501166,S1014058E,HSK63-PG10x100
35,800-501166,PL014058A,HSK63-PG10x100
35,800-501166,PL014058B,HSK63-PG10x100
35,800-501166,PL014058C,HSK63-PG10x100
35,800-501166,PL014058D,HSK63-PG10x100
35,800-501166,PL014058E,HSK63-PG10x100
35,800-501166,PG014058A,HSK63-PG10x100
35,800-501166,PG014058B,HSK63-PG10x100
35,800-501166,PG014058C,HSK63-PG10x100
35,800-501166,PG014058D,HSK63-PG10x100
35,800-501166,PG014058E,HSK63-PG10x100
36,800-500831,AL002136A,HSK63-ER16x100
36,800-500831,AL002136B,HSK63-ER16x100
36,800-500831,AL002136C,HSK63-ER16x100
36,800-500831,CU002136A,HSK63-ER16x100
36,800-500831,CU002136B,HSK63-ER16x100
36,800-500831,CU002136C,HSK63-ER16x100
36,800-500831,AL002137A,HSK63-ER32x100
36,800-500831,CU002137A,HSK63-ER32x100
36,800-500831,AL001127A,HSK63-PG10x100
36,800-500831,AL002271A,HSK63-PG10x100
36,800-500831,PG001127A,HSK63-PG10x100
36,800-500831,AL001163A,HSK63-PG10x100
